,LocationID,Borough,Zone,service_zone,city_coord
0,1,EWR,Newark Airport,EWR,"[40.6895314, -74.1744624]"
1,2,Queens,Jamaica Bay,Boro Zone,"[40.6056632, -73.8713099]"
2,3,Bronx,Allerton/Pelham Gardens,Boro Zone,"[40.8652943, -73.8462455]"
3,4,Manhattan,Alphabet City,Yellow Zone,"[40.7258428, -73.9774916]"
4,5,Staten Island,Arden Heights,Boro Zone,"[40.5567951, -74.17390569999999]"
5,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,"[40.5983625, -74.0658795]"
6,7,Queens,Astoria,Boro Zone,"[46.1878841, -123.8312534]"
7,8,Queens,Astoria Park,Boro Zone,"[40.7792459, -73.9229654]"
8,9,Queens,Auburndale,Boro Zone,"[28.0652975, -81.7886906]"
9,10,Queens,Baisley Park,Boro Zone,"[40.6737751, -73.786025]"
10,11,Brooklyn,Bath Beach,Boro Zone,"[40.6045267, -74.004258]"
11,12,Manhattan,Battery Park,Yellow Zone,"[40.7032775, -74.0170279]"
12,13,Manhattan,Battery Park City,Yellow Zone,"[40.7115786, -74.0158441]"
13,14,Brooklyn,Bay Ridge,Boro Zone,"[40.6261638, -74.03294989999999]"
14,15,Queens,Bay Terrace/Fort Totten,Boro Zone,"[40.7922202, -73.7745834]"
15,16,Queens,Bayside,Boro Zone,"[43.659841, -70.26377400000001]"
16,17,Brooklyn,Bedford,Boro Zone,"[32.844017, -97.1430671]"
17,18,Bronx,Bedford Park,Boro Zone,"[41.7641723, -87.7812524]"
18,19,Queens,Bellerose,Boro Zone,"[40.7320207, -73.7183639]"
19,20,Bronx,Belmont,Boro Zone,"[37.3383899, -95.2638489]"
20,21,Brooklyn,Bensonhurst East,Boro Zone,"[40.6112691, -73.9976946]"
21,22,Brooklyn,Bensonhurst West,Boro Zone,"[40.6112691, -73.9976946]"
22,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,"[42.5695743, -83.2312453]"
23,24,Manhattan,Bloomingdale,Yellow Zone,"[32.6789285, -97.0552733]"
